option,ingredient
1/2Fried_Rice 1/2White_Rice,Modified_food_starch
1/2Fried_Rice 1/2White_Rice,Onion_powder
1/2Fried_Rice 1/2White_Rice,Celery
1/2Fried_Rice 1/2Super_Greens,Cooked_white_rice
1/2Fried_Rice 1/2Super_Greens,Liquid_eggs
1/2Fried_Rice 1/2Super_Greens,Peas
1/2Fried_Rice 1/2Super_Greens,Carrot
1/2Fried_Rice 1/2Super_Greens,Soybean_oil
1/2Fried_Rice 1/2Super_Greens,Green_onions
1/2Fried_Rice 1/2Super_Greens,Salt
1/2Fried_Rice 1/2Super_Greens,Toasted_sesame_oil
1/2Fried_Rice 1/2Super_Greens,Modified_food_starch
1/2Fried_Rice 1/2Super_Greens,Onion_powder
1/2Fried_Rice 1/2Super_Greens,Celery
1/2Fried_Rice 1/2Super_Greens,Broccoli
1/2Fried_Rice 1/2Super_Greens,Kale
1/2White_Rice 1/2Super_Greens,Cooked_white_rice
1/2White_Rice 1/2Super_Greens,Soybean_oil
1/2White_Rice 1/2Super_Greens,Salt
1/2White_Rice 1/2Super_Greens,Broccoli
1/2White_Rice 1/2Super_Greens,Kale
